==========	0	==========
bush	0.01333
campaign	0.00918842
dukaki	0.00864693
democrat	0.00857144
presid	0.00777905
republican	0.00737707
school	0.0069128
vote	0.00641842
state	0.00640349
senat	0.00552114
==========	1	==========
peopl	0.00846182
citi	0.00713142
state	0.00687131
hospit	0.00651086
area	0.00579824
water	0.00577089
center	0.00491803
report	0.0048032
nation	0.00478214
mile	0.00446268
==========	2	==========
trade	0.0194215
market	0.014162
stock	0.0140784
dollar	0.0118893
japan	0.0117353
point	0.00956901
close	0.00888831
york	0.00762284
late	0.00740652
bill	0.00693039
==========	3	==========
million	0.0373998
report	0.00968676
sale	0.00921315
compani	0.00826334
govern	0.00825238
worker	0.00769148
share	0.00720089
nation	0.00710788
food	0.00661777
presid	0.00617899
==========	4	==========
polic	0.0146186
peopl	0.0104945
forc	0.010383
kill	0.00927429
offici	0.00922993
report	0.0089487
militari	0.00791347
govern	0.0078609
unit	0.0064319
attack	0.00639824
==========	5	==========
court	0.013543
charg	0.00971134
case	0.00897058
attorney	0.00892073
judg	0.00854167
drug	0.0082878
prison	0.0069519
offic	0.00638002
trial	0.00595834
sentenc	0.00570505
==========	6	==========
polic	0.00923848
court	0.00728034
offici	0.00678377
peopl	0.00660684
charg	0.0060334
offic	0.0059203
investig	0.00588048
state	0.00580531
death	0.0057771
famili	0.0055503
==========	7	==========
compani	0.0164195
airlin	0.00759788
feder	0.00690162
corp	0.00644164
flight	0.0059954
million	0.00597426
pilot	0.00589345
plane	0.00555456
oper	0.00548132
plan	0.00512237
==========	8	==========
soviet	0.0232769
parti	0.0138315
presid	0.0112272
govern	0.0100679
leader	0.00920332
gorbachev	0.00880584
union	0.0084191
countri	0.0080581
meet	0.00777114
nation	0.00769721
==========	9	==========
billion	0.0189085
price	0.0146068
cent	0.0117669
rate	0.0105687
increa	0.00831133
market	0.00830472
bank	0.00725868
month	0.00714515
product	0.00657045
budget	0.00651485
